YEAR,PARTY,CONTESTED,SEATS_WON,VOTES_WON,PCT_VOTES_WON,CONVERSION_RATIO,MEDIAN_MARGIN,MEDIAN_PCT_MARGIN,WOMEN_CANDS,WOMEN_WINNERS
1957,IND,228,33,1845456,28.74470866,1.79E-05,3174,10.55326506,3,1
1957,INC,207,126,3343839,52.08342971,3.77E-05,5397.5,17.23805263,19,12
1957,SCF,6,0,83542,1.301245031,0,,,0,0
1957,PWP,2,2,35462,0.552353921,5.64E-05,3925,12.77028621,0,0
1957,BJS,20,0,86084,1.340839066,0,,,0,0
1957,PSP,78,17,902373,14.05530611,1.88E-05,3536,11.5649668,0,0
1957,CPI,20,1,123403,1.922117505,8.10E-06,425,0.582175831,0,0
1962,INC,208,138,3164811,50.22136009,4.36E-05,6042,20.65785245,22,16
1962,REP,19,0,51558,0.818157193,0,,,0,0
1962,PSP,84,20,887363,14.08127587,2.25E-05,3636.5,12.72386877,2,1
1962,IND,179,27,1091011,17.31289998,2.47E-05,4225,12.26324653,2,1
1962,CPI,31,3,143835,2.282471,2.09E-05,813,1.943209522,0,0
1962,SWA,59,9,450713,7.152218528,2.00E-05,4631,15.48094432,2,0
1962,SOC,9,1,62809,0.996695666,1.59E-05,12564,37.89702289,0,0
1962,LSS,17,4,159545,2.531767899,2.51E-05,1939,6.462448687,0,0
1962,JS,63,0,144413,2.291643095,0,,,2,0
1962,MES,6,6,136878,2.172072622,4.38E-05,9153,24.9212084,0,0
1962,DMK,4,0,8787,0.139438055,0,,,0,0
1967,INC,216,126,3636374,48.42755804,3.46E-05,7335.5,19.71940203,6,4
1967,IND,331,41,2129786,28.36351132,1.93E-05,4268,11.29292464,2,0
1967,RPI,12,1,57739,0.768941471,1.73E-05,3915,15.4188492,0,0
1967,BJS,37,4,211966,2.822865791,1.89E-05,5316,14.94915598,0,0
1967,CPI,6,1,38737,0.515881567,2.58E-05,1531,4.389712418,0,0
1967,PSP,52,20,666662,8.878298189,3.00E-05,5106,17.74913071,1,1
1967,SWA,45,16,497055,6.619550096,3.22E-05,2767.5,7.373401916,0,0
1967,SSP,17,6,185222,2.466701488,3.24E-05,9954,25.68020034,0,0
1967,CPM,10,1,82531,1.099109935,1.21E-05,1336,3.114872584,0,0
1967,PFR,1,0,2822,0.037582099,0,,,0,0
1972,IND,250,20,1159383,12.87201319,1.73E-05,4483.5,10.93571675,0,0
1972,NCO,176,24,2361308,26.21634759,1.02E-05,2799,7.424254158,0,0
1972,INC,212,165,4698824,52.16854524,3.51E-05,9412,23.80509223,0,0
1972,SOP,29,3,152556,1.693748178,1.97E-05,5217,14.91219103,0,0
1972,BJS,102,0,387498,4.302184322,0,,,0,0
