ST_NAME,YEAR,AC_NO,POSITION,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
Karnataka,1957,1,1,ATHANI,GEN,PAWAR JAYAWANTRAO BHOJRAO,M,,,IND,14384
Karnataka,1957,1,2,ATHANI,GEN,DALVAI NINGAPPA BAHADUR,M,,,INC,8730
Karnataka,1957,2,1,RAYBAG,SC,PATIL VASANTRAO LAKHGOUDA,M,,,IND,37070
Karnataka,1957,2,2,RAYBAG,SC,TALWALKAR SAMPATRAO PRADHANJI (SC),M,,,SCF,32553
Karnataka,1957,2,3,RAYBAG,SC,SHAH BALACHANDRA PREMCHANDRA,M,,,INC,23152
Karnataka,1957,2,4,RAYBAG,SC,KAMBALE SHIVRUDRAPPA UDAPA (SC),M,,,INC,18593
Karnataka,1957,2,5,RAYBAG,SC,SHETTI SHRIMANDAR BALAPPA,M,,,IND,2259
Karnataka,1957,3,1,SADALGA,GEN,KHOT BALAJI GOVIND,M,,,IND,17714
Karnataka,1957,3,2,SADALGA,GEN,GUNJAL PADMAPPA HIRIYAPPA,M,,,INC,17529
Karnataka,1957,4,1,CHIKKODI,GEN,KOTHAVALE SHANKAR RAO DADA SAHEB ALIAS DADOBA,M,,,INC,14766
Karnataka,1957,4,2,CHIKKODI,GEN,SHETTI MALLAPPA VEERAPPA,M,,,IND,13545
Karnataka,1957,5,1,NIPPANI,GEN,NAIK BALVANT DATTOBA,M,,,IND,26069
Karnataka,1957,5,2,NIPPANI,GEN,PATIL PANDURANG PARASHRAM,M,,,INC,7737
Karnataka,1957,5,3,NIPPANI,GEN,JOSHI GOVIND SADASHIV,M,,,IND,430
Karnataka,1957,6,1,HUKKERI,SC,PATIL MALAGOUDA PUNAGOUDA,M,,,INC,29716
Karnataka,1957,6,2,HUKKERI,SC,BHOGALE CHAMPABAI PIRAJI (SC),F,,,INC,26097
Karnataka,1957,6,3,HUKKERI,SC,PATIL BAPUSAHEB NANASAHEB,M,,,IND,16172
Karnataka,1957,6,4,HUKKERI,SC,TIPAKURLE BANDOPANT DHONDIRAM (SC),M,,,SCF,13812
Karnataka,1957,6,5,HUKKERI,SC,MALANGE APPAJI LAGAMA,M,,,IND,2407
Karnataka,1957,7,1,BELGAUM,GEN,SUNTHANKAR BALAKRISHNA RANGRAO,M,,,IND,22179
Karnataka,1957,7,2,BELGAUM,GEN,QAZI MOHAMED HUSAIN MOHAMED SAHEB,M,,,INC,15915
Karnataka,1957,8,1,BELGAUM I,GEN,PATIL VITHAL SHITARAM,M,,,PWP,18016
Karnataka,1957,8,2,BELGAUM I,GEN,PATIL VITHALRAO KALAJIRAO,M,,,INC,12063
Karnataka,1957,9,1,BELGAUM I I,GEN,SAMAJI NAGENDRA OMANA,M,,,PWP,17446
Karnataka,1957,9,2,BELGAUM I I,GEN,PATIL SHIYANGOUD BABAGOUD,M,,,INC,15549
Karnataka,1957,10,1,GOKAK I,GEN,KARLINGANNAVAR NINGAPPA APPAYYA,M,,,INC,19384
Karnataka,1957,10,2,GOKAK I,GEN,HIDKAL GANGADHAR RAMAPPA,M,,,BJS,6497
Karnataka,1957,11,1,GOKAK II,GEN,PANCHAGAVI APPANNA RAMAPPA,M,,,INC,14141
Karnataka,1957,11,2,GOKAK II,GEN,NAYAK NAYAKAPPA RTAYAPPA,M,,,IND,3141
Karnataka,1957,11,3,GOKAK II,GEN,KONNUR SHANTHARAYAN S.,M,,,PSP,1730
Karnataka,1957,12,1,RAMDURG,GEN,PATTAN MAHADEVAPPA SHIVABASAPPA,M,,,IND,17212
Karnataka,1957,12,2,RAMDURG,GEN,TIMMARADDI VENKARADDI SHIDDARADDI,M,,,INC,12147
Karnataka,1957,13,1,PARASGAD,GEN,PADAKI SHANKAR RAO BINDOO RAO,M,,,IND,16274
Karnataka,1957,13,2,PARASGAD,GEN,KAMAT PRAMILA SHRIRANG,F,,,INC,14610
Karnataka,1957,14,1,SAMPAGAON I,GEN,JOUJALGI HEMAPPA VIRABHADRAPPA,M,,,INC,21461
Karnataka,1957,14,2,SAMPAGAON I,GEN,HOSUR MADIVALAPPA LINGAPPA,M,,,PSP,8474
Karnataka,1957,15,1,SAMPGAON II,GEN,NAGNUR MUGATSAB NABISAB,M,,,INC,
Karnataka,1957,16,1,KHANAPUR,GEN,BIRJE LAXMAN BALAJI,M,,,IND,26401
Karnataka,1957,16,2,KHANAPUR,GEN,ARAGAVI BASAPPA SHIDDALINGAPPA,M,,,INC,12822
Karnataka,1957,17,1,KARWAR,GEN,GAONKAR SAKHARAM DATTATRAYA,M,,,INC,11832
Karnataka,1957,17,2,KARWAR,GEN,PAWAR GOPINATH VITHOBA,M,,,IND,11340
Karnataka,1957,17,3,KARWAR,GEN,KADAM BALSU PURSO,M,,,PSP,4758
Karnataka,1957,17,4,KARWAR,GEN,NAIK KRISHNA NARAYAN,M,,,IND,3394
Karnataka,1957,18,1,ANKOLA,GEN,KAMAT RAMCHANDRA GOPAL,M,,,INC,16715
Karnataka,1957,18,2,ANKOLA,GEN,GUNAGA SHIVA BOMMU,M,,,PSP,9657
Karnataka,1957,18,3,ANKOLA,GEN,BALGI VASUDEV VENKATRAMAN,M,,,IND,4534
Karnataka,1957,19,1,KUMTA,GEN,MIRJANKAR VASANTALATA V.,F,,,INC,14034
Karnataka,1957,19,2,KUMTA,GEN,CHITTAL DAMODHAR VITHOBA,M,,,PSP,8938
Karnataka,1957,19,3,KUMTA,GEN,NAIK DEVAPPA AYYU,M,,,IND,3459
Karnataka,1957,19,4,KUMTA,GEN,HEGDE SHRIDHAR ISHWAR,M,,,IND,2385
