,ST_NAME,YEAR,AC_NO,POSITION,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
0,Karnataka,1957,1,1,ATHANI,GEN,PAWAR JAYAWANTRAO BHOJRAO,M,,,IND,14384.0
1,Karnataka,1957,1,2,ATHANI,GEN,DALVAI NINGAPPA BAHADUR,M,,,INC,8730.0
2,Karnataka,1957,2,1,RAYBAG,SC,PATIL VASANTRAO LAKHGOUDA,M,,,IND,37070.0
3,Karnataka,1957,2,2,RAYBAG,SC,TALWALKAR SAMPATRAO PRADHANJI (SC),M,,,SCF,32553.0
4,Karnataka,1957,2,3,RAYBAG,SC,SHAH BALACHANDRA PREMCHANDRA,M,,,INC,23152.0
5,Karnataka,1957,2,4,RAYBAG,SC,KAMBALE SHIVRUDRAPPA UDAPA (SC),M,,,INC,18593.0
6,Karnataka,1957,2,5,RAYBAG,SC,SHETTI SHRIMANDAR BALAPPA,M,,,IND,2259.0
7,Karnataka,1957,3,1,SADALGA,GEN,KHOT BALAJI GOVIND,M,,,IND,17714.0
8,Karnataka,1957,3,2,SADALGA,GEN,GUNJAL PADMAPPA HIRIYAPPA,M,,,INC,17529.0
9,Karnataka,1957,4,1,CHIKKODI,GEN,KOTHAVALE SHANKAR RAO DADA SAHEB ALIAS DADOBA,M,,,INC,14766.0
10,Karnataka,1957,4,2,CHIKKODI,GEN,SHETTI MALLAPPA VEERAPPA,M,,,IND,13545.0
11,Karnataka,1957,5,1,NIPPANI,GEN,NAIK BALVANT DATTOBA,M,,,IND,26069.0
12,Karnataka,1957,5,2,NIPPANI,GEN,PATIL PANDURANG PARASHRAM,M,,,INC,7737.0
13,Karnataka,1957,5,3,NIPPANI,GEN,JOSHI GOVIND SADASHIV,M,,,IND,430.0
14,Karnataka,1957,6,1,HUKKERI,SC,PATIL MALAGOUDA PUNAGOUDA,M,,,INC,29716.0
15,Karnataka,1957,6,2,HUKKERI,SC,BHOGALE CHAMPABAI PIRAJI (SC),F,,,INC,26097.0
16,Karnataka,1957,6,3,HUKKERI,SC,PATIL BAPUSAHEB NANASAHEB,M,,,IND,16172.0
17,Karnataka,1957,6,4,HUKKERI,SC,TIPAKURLE BANDOPANT DHONDIRAM (SC),M,,,SCF,13812.0
18,Karnataka,1957,6,5,HUKKERI,SC,MALANGE APPAJI LAGAMA,M,,,IND,2407.0
19,Karnataka,1957,7,1,BELGAUM,GEN,SUNTHANKAR BALAKRISHNA RANGRAO,M,,,IND,22179.0
20,Karnataka,1957,7,2,BELGAUM,GEN,QAZI MOHAMED HUSAIN MOHAMED SAHEB,M,,,INC,15915.0
21,Karnataka,1957,8,1,BELGAUM I,GEN,PATIL VITHAL SHITARAM,M,,,PWP,18016.0
22,Karnataka,1957,8,2,BELGAUM I,GEN,PATIL VITHALRAO KALAJIRAO,M,,,INC,12063.0
23,Karnataka,1957,9,1,BELGAUM I I,GEN,SAMAJI NAGENDRA OMANA,M,,,PWP,17446.0
24,Karnataka,1957,9,2,BELGAUM I I,GEN,PATIL SHIYANGOUD BABAGOUD,M,,,INC,15549.0
25,Karnataka,1957,10,1,GOKAK I,GEN,KARLINGANNAVAR NINGAPPA APPAYYA,M,,,INC,19384.0
26,Karnataka,1957,10,2,GOKAK I,GEN,HIDKAL GANGADHAR RAMAPPA,M,,,BJS,6497.0
27,Karnataka,1957,11,1,GOKAK II,GEN,PANCHAGAVI APPANNA RAMAPPA,M,,,INC,14141.0
28,Karnataka,1957,11,2,GOKAK II,GEN,NAYAK NAYAKAPPA RTAYAPPA,M,,,IND,3141.0
29,Karnataka,1957,11,3,GOKAK II,GEN,KONNUR SHANTHARAYAN S.,M,,,PSP,1730.0
30,Karnataka,1957,12,1,RAMDURG,GEN,PATTAN MAHADEVAPPA SHIVABASAPPA,M,,,IND,17212.0
31,Karnataka,1957,12,2,RAMDURG,GEN,TIMMARADDI VENKARADDI SHIDDARADDI,M,,,INC,12147.0
32,Karnataka,1957,13,1,PARASGAD,GEN,PADAKI SHANKAR RAO BINDOO RAO,M,,,IND,16274.0
33,Karnataka,1957,13,2,PARASGAD,GEN,KAMAT PRAMILA SHRIRANG,F,,,INC,14610.0
34,Karnataka,1957,14,1,SAMPAGAON I,GEN,JOUJALGI HEMAPPA VIRABHADRAPPA,M,,,INC,21461.0
35,Karnataka,1957,14,2,SAMPAGAON I,GEN,HOSUR MADIVALAPPA LINGAPPA,M,,,PSP,8474.0
36,Karnataka,1957,15,1,SAMPGAON II,GEN,NAGNUR MUGATSAB NABISAB,M,,,INC,
37,Karnataka,1957,16,1,KHANAPUR,GEN,BIRJE LAXMAN BALAJI,M,,,IND,26401.0
38,Karnataka,1957,16,2,KHANAPUR,GEN,ARAGAVI BASAPPA SHIDDALINGAPPA,M,,,INC,12822.0
39,Karnataka,1957,17,1,KARWAR,GEN,GAONKAR SAKHARAM DATTATRAYA,M,,,INC,11832.0
40,Karnataka,1957,17,2,KARWAR,GEN,PAWAR GOPINATH VITHOBA,M,,,IND,11340.0
41,Karnataka,1957,17,3,KARWAR,GEN,KADAM BALSU PURSO,M,,,PSP,4758.0
42,Karnataka,1957,17,4,KARWAR,GEN,NAIK KRISHNA NARAYAN,M,,,IND,3394.0
43,Karnataka,1957,18,1,ANKOLA,GEN,KAMAT RAMCHANDRA GOPAL,M,,,INC,16715.0
